iter	Passed	Remaining
0	64	648492
1	69	349305
2	74	249224
3	78	195597
4	83	167206
5	87	146021
6	92	131996
7	98	123228
8	105	116812
9	108	108794
10	114	104053
11	118	98823
12	124	95575
13	130	92758
14	136	90646
15	147	92267
16	157	92572
17	161	89652
18	164	86612
19	171	85458
20	175	83273
21	178	80923
22	182	79254
23	186	77726
24	190	75941
25	193	74060
26	197	72772
27	201	71834
28	204	70421
29	208	69130
30	212	68226
31	216	67432
32	219	66195
33	223	65626
34	226	64391
35	230	63783
36	234	63046
37	238	62476
38	242	61933
39	246	61497
40	251	61045
41	255	60567
42	258	59971
43	263	59659
44	269	59591
45	272	58961
46	276	58593
47	280	58146
48	285	57975
49	289	57600
50	293	57292
51	297	56953
52	304	57069
53	307	56689
54	310	56081
55	313	55741
56	318	55488
57	322	55275
58	325	54800
59	329	54639
60	333	54394
61	336	53944
62	340	53711
63	344	53430
64	348	53191
65	352	53034
66	356	52837
67	360	52712
68	364	52432
69	368	52273
70	372	52041
71	375	51785
72	379	51607
73	384	51513
74	388	51378
75	393	51369
76	397	51274
77	401	51036
78	405	50930
79	409	50833
80	414	50746
81	419	50779
82	423	50643
83	429	50645
84	432	50410
85	437	50417
86	440	50185
87	444	50109
88	448	49893
89	452	49872
90	456	49746
91	460	49588
92	463	49341
93	467	49241
94	471	49128
95	475	49070
96	480	49011
97	484	48929
98	488	48871
99	493	48851
100	496	48683
101	500	48600
102	505	48533
103	508	48357
104	513	48396
105	517	48313
106	520	48162
107	524	48025
108	529	48012
109	534	48057
110	538	47960
111	542	47879
112	546	47831
113	551	47783
114	553	47607
115	557	47478
116	561	47436
117	566	47416
118	571	47446
119	574	47295
120	577	47184
121	581	47049
122	585	46990
123	589	46933
124	594	46950
125	599	46940
126	603	46894
127	606	46800
128	610	46738
129	614	46636
130	618	46587
131	622	46502
132	627	46517
133	632	46545
134	637	46574
135	641	46560
136	645	46440
137	651	46547
138	654	46419
139	658	46390
140	662	46323
141	666	46274
142	670	46202
143	674	46197
144	679	46170
145	683	46155
146	688	46114
147	692	46093
148	697	46127
149	702	46100
150	706	46080
151	710	46040
152	714	46007
153	719	45974
154	723	45937
155	726	45864
156	730	45816
157	735	45785
158	739	45778
159	743	45725
160	747	45687
161	750	45556
162	753	45485
163	758	45462
164	762	45434
165	766	45437
166	770	45342
167	774	45303
168	776	45188
169	780	45155
170	784	45098
171	788	45059
172	792	45011
173	796	44955
174	800	44951
175	804	44927
176	809	44946
177	813	44909
178	818	44891
179	822	44852
180	826	44827
181	832	44886
182	835	44805
183	840	44824
184	843	44734
185	848	44754
186	853	44768
187	855	44675
188	859	44633
189	863	44594
190	867	44560
191	870	44474
192	875	44485
193	878	44418
194	883	44405
195	887	44375
196	892	44391
197	894	44282
198	899	44292
199	903	44272
200	908	44276
201	912	44256
202	916	44241
203	919	44155
204	922	44081
205	926	44058
206	930	44004
207	934	44013
208	938	43957
209	942	43955
210	947	43950
211	951	43939
212	955	43926
213	959	43882
214	963	43858
215	968	43863
216	972	43852
217	977	43842
218	981	43836
219	986	43833
220	989	43799
221	994	43792
222	998	43792
223	1004	43834
224	1008	43808
225	1012	43787
226	1016	43779
227	1021	43783
228	1025	43756
229	1029	43727
230	1032	43683
231	1038	43734
232	1043	43736
233	1047	43710
234	1050	43671
235	1055	43685
236	1059	43634
237	1066	43740
238	1070	43740
239	1075	43723
240	1079	43730
241	1084	43714
242	1089	43734
243	1094	43749
244	1099	43796
245	1103	43736
246	1107	43719
247	1111	43725
248	1116	43706
249	1120	43717
250	1124	43694
251	1129	43694
252	1133	43678
253	1138	43678
254	1140	43602
255	1145	43619
256	1149	43570
257	1155	43625
258	1160	43632
259	1164	43620
260	1169	43641
261	1174	43640
262	1178	43645
263	1182	43607
264	1186	43595
265	1192	43628
266	1196	43616
267	1199	43553
268	1204	43559
269	1207	43522
270	1211	43491
271	1215	43486
272	1220	43473
273	1225	43503
274	1230	43510
275	1234	43505
276	1239	43498
277	1244	43507
