deal_id,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount
12582705672,,12,349,20/03/2023,0
13340140686,,13,512.05,16/05/2023,0
14554978164,,6,918,10/08/2023,0
9908267526,,6,577.6,28/08/2022,0
13321077300,,12,469,13/05/2023,0
9141422769,,12,419,09/06/2022,0
12950077527,,12,709,13/04/2023,0
6992795673,72301051,6,359,09/12/2021,0
11554431921,88432651,6,359,02/01/2023,0
9623726127,124103201,6,359,05/09/2022,0
9663861798,119236001,6,359,30/08/2022,0
9620663625,85612651,6,359,29/09/2022,0
11623972518,356840651,12,599,08/01/2023,0
13620115305,450047051,12,599,07/06/2023,0
10552012371,129107351,6,616.55,14/10/2022,0
11411664984,346468951,6,649,20/12/2022,0
13537048869,441902352,12,599,01/06/2023,0
11394486432,324472001,6,666,19/12/2022,0
12288528153,400233601,6,549,24/02/2023,0
12775508307,418818701,12,439,30/03/2023,0
13458833271,39862751,12,449.1,26/05/2023,0
12459006981,408428152,12,431.1,09/03/2023,0
12278796399,166129201,12,417.05,24/02/2023,0
12764416896,418397851,12,439,29/03/2023,0
13543079472,234450751,12,511.2,01/06/2023,0
12114999090,387249501,12,439,11/02/2023,0
14357850030,423271851,12,439,27/07/2023,0
13240283940,323189901,12,436.05,05/05/2023,0
13313723265,95553651,12,417.05,12/05/2023,0
13218610338,422302901,12,828,03/05/2023,0
14250430782,396996051,12,439,20/07/2023,0
13944819051,458742151,12,439,02/07/2023,0
11990878731,57766601,12,386.1,02/02/2023,0
12948810318,416222452,12,568,17/04/2023,0
12025090935,384849851,12,518,05/02/2023,0
13994075772,459899451,12,439,06/07/2023,0
12006052875,211618001,12,473.1,03/02/2023,0
12880210572,421535501,12,508,07/04/2023,0
13190318181,433047151,12,568,02/05/2023,0
14031607581,462164401,12,439,09/07/2023,0
9254448936,247028101,12,519,20/06/2022,0
9543948318,262320201,12,499,20/07/2022,0
8934374826,231781051,24,888,17/05/2022,0
15525427527,460783501,12,529,10/10/2023,0
16103088387,518131651,12,579,17/11/2023,0
16134636825,340869751,12,512.05,20/11/2023,0
15865150473,518723551,12,549,31/10/2023,0
15501538692,503384651,12,769,09/10/2023,2307
15705095859,275547552,12,748,19/10/2023,0
9329928723,93320201,6,521.1,28/06/2022,0
6561460746,132089001,12,468,15/10/2021,0
6871307445,112171851,12,439,08/11/2021,0
7348145985,120406951,12,568,27/12/2021,0
7293034017,159461951,12,439,20/12/2021,0
7315603974,36307101,12,417.05,22/12/2021,0
6609397779,131367051,12,399,20/10/2021,0
7325583498,5110601,12,417.05,23/12/2021,0
6925262445,138362151,12,439,15/11/2021,0
12429317790,394821351,6,808,07/03/2023,0
12806088372,416217751,12,749,01/04/2023,0
13029516828,427309501,12,749,19/04/2023,0
11802403134,85276251,12,764.1,22/01/2023,0
13054790529,23782201,12,674.1,19/04/2023,0
11223328293,33850551,12,849,05/12/2022,0
9220911471,245603651,12,758,17/06/2022,0
9972750483,284973401,12,649,29/08/2022,0
9702017703,270173201,12,688,04/08/2022,0
13159573389,281009851,12,559.55,27/04/2023,0
14806477467,132178651,12,519,24/08/2023,0
10945456929,333571051,12,1608,16/11/2022,4824
13267513611,238231501,12,740.05,08/05/2023,0
10798616673,164697851,12,737.1,03/11/2022,0
